method,split,k,group_type,group_name,count,evidence_recall_at_k,complete_recall_at_k,search_success,mrr,tool_calls,latency_ms,latency_ms_p95,text_read_tokens,evidence_gain_step2,stop_accuracy
file_fts,final,5,task_type,exact_file_lookup,60,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.8902777777777777,1.0,10.504876665274303,18.66717500165105,496.9166666666667,,
file_fts,final,5,task_type,multi_hop_relation,60,1.0,0.4166666666666667,0.4166666666666667,0.9027777777777778,1.0,5.626024999966224,15.2634600110352,461.23333333333335,,
file_fts,final,5,task_type,semantic_fact,60,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9333333333333333,1.0,4.217781665176153,10.261990017443894,482.9,,
fusion,final,1,overall,overall,180,0.8166666666666667,0.55,0.55,0.8166666666666667,3.0,198.09495110900866,223.0821650025745,1321.411111111111,,
fusion,final,3,overall,overall,180,0.9722222222222222,0.7888888888888889,0.7888888888888889,0.8935185185185185,3.0,198.09495110900866,223.0821650025745,1321.411111111111,,
fusion,final,5,overall,overall,180,0.9722222222222222,0.8555555555555555,0.8555555555555555,0.8935185185185185,3.0,198.09495110900866,223.0821650025745,1321.411111111111,,
fusion,final,1,task_type,exact_file_lookup,60,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,3.0,210.15034332871437,231.45875501533345,1316.8333333333333,,
fusion,final,1,task_type,multi_hop_relation,60,0.8,0.0,0.0,0.8,3.0,194.32044333343705,218.00014501338202,1313.8833333333334,,
fusion,final,1,task_type,semantic_fact,60,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,3.0,189.81406666487456,205.33441501458483,1333.5166666666667,,
fusion,final,3,task_type,exact_file_lookup,60,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.8638888888888889,3.0,210.15034332871437,231.45875501533345,1316.8333333333333,,
fusion,final,3,task_type,multi_hop_relation,60,0.9833333333333333,0.43333333333333335,0.43333333333333335,0.8916666666666667,3.0,194.32044333343705,218.00014501338202,1313.8833333333334,,
fusion,final,3,task_type,semantic_fact,60,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.925,3.0,189.81406666487456,205.33441501458483,1333.5166666666667,,
fusion,final,5,task_type,exact_file_lookup,60,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.8638888888888889,3.0,210.15034332871437,231.45875501533345,1316.8333333333333,,
fusion,final,5,task_type,multi_hop_relation,60,0.9833333333333333,0.6333333333333333,0.6333333333333333,0.8916666666666667,3.0,194.32044333343705,218.00014501338202,1313.8833333333334,,
fusion,final,5,task_type,semantic_fact,60,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.925,3.0,189.81406666487456,205.33441501458483,1333.5166666666667,,
graph_path,final,1,overall,overall,180,0.7,0.4444444444444444,0.4444444444444444,0.7,1.0,24.351184999611643,40.064255008101455,441.0,,
graph_path,final,3,overall,overall,180,0.8777777777777778,0.7777777777777778,0.7777777777777778,0.7851851851851852,1.0,24.351184999611643,40.064255008101455,441.0,,
graph_path,final,5,overall,overall,180,0.9277777777777778,0.8222222222222222,0.8222222222222222,0.7968518518518518,1.0,24.351184999611643,40.064255008101455,441.0,,
graph_path,final,1,task_type,exact_file_lookup,60,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,1.0,32.60871999884645,50.080849994719,434.73333333333335,,
graph_path,final,1,task_type,multi_hop_relation,60,0.7666666666666667,0.0,0.0,0.7666666666666667,1.0,21.807583332061768,34.75852499604225,431.96666666666664,,
graph_path,final,1,task_type,semantic_fact,60,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,1.0,18.63725166792671,28.833030008524652,456.3,,
graph_path,final,3,task_type,exact_file_lookup,60,0.85,0.85,0.85,0.7,1.0,32.60871999884645,50.080849994719,434.73333333333335,,
graph_path,final,3,task_type,multi_hop_relation,60,0.8833333333333333,0.5833333333333334,0.5833333333333334,0.825,1.0,21.807583332061768,34.75852499604225,431.96666666666664,,
graph_path,final,3,task_type,semantic_fact,60,0.9,0.9,0.9,0.8305555555555556,1.0,18.63725166792671,28.833030008524652,456.3,,
graph_path,final,5,task_type,exact_file_lookup,60,0.9,0.9,0.9,0.7116666666666667,1.0,32.60871999884645,50.080849994719,434.73333333333335,,
graph_path,final,5,task_type,multi_hop_relation,60,0.95,0.6333333333333333,0.6333333333333333,0.8408333333333333,1.0,21.807583332061768,34.75852499604225,431.96666666666664,,
graph_path,final,5,task_type,semantic_fact,60,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8380555555555556,1.0,18.63725166792671,28.833030008524652,456.3,,
oracle,final,1,overall,overall,180,0.9111111111111111,0.6111111111111112,0.6111111111111112,0.9111111111111111,1.0,16.516593221729554,40.2470949992528,472.25,,
oracle,final,3,overall,overall,180,0.9777777777777777,0.8722222222222222,0.8722222222222222,0.9444444444444444,1.0,16.516593221729554,40.2470949992528,472.25,,
oracle,final,5,overall,overall,180,0.9833333333333333,0.9,0.9,0.9458333333333333,1.0,16.516593221729554,40.2470949992528,472.25,,
