method,method_role,split,k,group_type,task_type,count,evidence_recall,complete_evidence_recall,mrr,search_success_rate,average_tool_calls,latency_avg_ms,latency_p95_ms,evidence_gain_per_step,stop_accuracy
fusion,formal_baseline,final,5,task_type,multi_hop_relation,60,0.9833333333333333,0.6333333333333333,0.8916666666666667,0.6333333333333333,3.0,194.32044333343705,218.00014501338202,,
fusion,formal_baseline,final,5,task_type,semantic_fact,60,0.9666666666666667,0.9666666666666667,0.925,0.9666666666666667,3.0,189.81406666487456,205.33441501458483,,
graph_path,formal_baseline,final,1,overall,,180,0.7,0.4444444444444444,0.7,0.4444444444444444,1.0,24.351184999611643,40.064255008101455,,
graph_path,formal_baseline,final,3,overall,,180,0.8777777777777778,0.7777777777777778,0.7851851851851852,0.7777777777777778,1.0,24.351184999611643,40.064255008101455,,
graph_path,formal_baseline,final,5,overall,,180,0.9277777777777778,0.8222222222222222,0.7968518518518518,0.8222222222222222,1.0,24.351184999611643,40.064255008101455,,
graph_path,formal_baseline,final,1,task_type,exact_file_lookup,60,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,1.0,32.60871999884645,50.080849994719,,
graph_path,formal_baseline,final,1,task_type,multi_hop_relation,60,0.7666666666666667,0.0,0.7666666666666667,0.0,1.0,21.807583332061768,34.75852499604225,,
graph_path,formal_baseline,final,1,task_type,semantic_fact,60,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,1.0,18.63725166792671,28.833030008524652,,
graph_path,formal_baseline,final,3,task_type,exact_file_lookup,60,0.85,0.85,0.7,0.85,1.0,32.60871999884645,50.080849994719,,
graph_path,formal_baseline,final,3,task_type,multi_hop_relation,60,0.8833333333333333,0.5833333333333334,0.825,0.5833333333333334,1.0,21.807583332061768,34.75852499604225,,
graph_path,formal_baseline,final,3,task_type,semantic_fact,60,0.9,0.9,0.8305555555555556,0.9,1.0,18.63725166792671,28.833030008524652,,
graph_path,formal_baseline,final,5,task_type,exact_file_lookup,60,0.9,0.9,0.7116666666666667,0.9,1.0,32.60871999884645,50.080849994719,,
graph_path,formal_baseline,final,5,task_type,multi_hop_relation,60,0.95,0.6333333333333333,0.8408333333333333,0.6333333333333333,1.0,21.807583332061768,34.75852499604225,,
graph_path,formal_baseline,final,5,task_type,semantic_fact,60,0.9333333333333333,0.9333333333333333,0.8380555555555556,0.9333333333333333,1.0,18.63725166792671,28.833030008524652,,
oracle,analysis_only,final,1,overall,,180,0.9111111111111111,0.6111111111111112,0.9111111111111111,0.6111111111111112,1.0,16.516593221729554,40.2470949992528,,
oracle,analysis_only,final,3,overall,,180,0.9777777777777777,0.8722222222222222,0.9444444444444444,0.8722222222222222,1.0,16.516593221729554,40.2470949992528,,
oracle,analysis_only,final,5,overall,,180,0.9833333333333333,0.9,0.9458333333333333,0.9,1.0,16.516593221729554,40.2470949992528,,
oracle,analysis_only,final,1,task_type,exact_file_lookup,60,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,1.0,14.028255999767119,23.459835001081196,,
oracle,analysis_only,final,1,task_type,multi_hop_relation,60,0.9,0.0,0.9,0.0,1.0,25.325191667344836,166.31215499838194,,
oracle,analysis_only,final,1,task_type,semantic_fact,60,0.95,0.95,0.95,0.95,1.0,10.196331998076705,14.523594990372615,,
oracle,analysis_only,final,3,task_type,exact_file_lookup,60,0.9666666666666667,0.9666666666666667,0.925,0.9666666666666667,1.0,14.028255999767119,23.459835001081196,,
oracle,analysis_only,final,3,task_type,multi_hop_relation,60,0.9833333333333333,0.6666666666666666,0.9416666666666667,0.6666666666666666,1.0,25.325191667344836,166.31215499838194,,
oracle,analysis_only,final,3,task_type,semantic_fact,60,0.9833333333333333,0.9833333333333333,0.9666666666666667,0.9833333333333333,1.0,10.196331998076705,14.523594990372615,,
oracle,analysis_only,final,5,task_type,exact_file_lookup,60,0.9666666666666667,0.9666666666666667,0.925,0.9666666666666667,1.0,14.028255999767119,23.459835001081196,,
oracle,analysis_only,final,5,task_type,multi_hop_relation,60,1.0,0.75,0.9458333333333333,0.75,1.0,25.325191667344836,166.31215499838194,,
oracle,analysis_only,final,5,task_type,semantic_fact,60,0.9833333333333333,0.9833333333333333,0.9666666666666667,0.9833333333333333,1.0,10.196331998076705,14.523594990372615,,
